"gid","link_id","f_node","t_node","lanes","road_rank","road_type","road_no","road_name","road_use","multi_link","connect","max_spd","rest_veh","rest_w","rest_h","c-its","length","updatedate","remark","hist_type","histremark","geom","min_cost"
5655,"3010286000","3010131600","3010133500",1,"107","000",-,관성3길,"0","0","0",10,"0",0,0,"0",2485.21151555318,"20230519",,,,"MULTILINESTRING ((228470.12339999992 467646.64460000023, 228818.12310000043 467674.15729999915, 229001.18090000004 467693.4060999993, 229298.2452999996 467718.41369999945, 229347.8700000001 467723.3774999995, 229356.81850000005 467726.42789999954, 229419.52130000014 467775.38900000043, 229445.48680000007 467801.84449999966, 229469.45749999955 467846.4386, 229543.94099999964 467971.20439999923, 229550.1769000003 467979.5946999993, 229563.9617999997 467987.0855999999, 229583.43070000038 467993.9581000004, 229638.56840000022 468002.9071999993, 229661.2229000004 468010.28339999914, 229667.7949000001 468014.1283, 229678.6891999999 468029.1568999998, 229707.02390000038 468045.1373999994, 229799.49340000004 468081.0264999997, 229808.22709999979 468085.8007999994, 229818.28560000006 468094.19999999925, 229826.60859999992 468104.76490000077, 229829.87229999993 468113.51689999923, 229831.1623999998 468127.3979000002, 229829.6705 468163.5929000005, 229834.27560000028 468177.76600000076, 229841.34549999982 468182.4911000002, 229855.0806 468186.2441000007, 229891.17669999972 468189.7662000004, 229899.36280000024 468193.6062000003, 229908.2999999998 468204.6732999999, 229939.46279999986 468262.43840000033, 229954.80950000044 468279.5247000009, 229983.59979999997 468305.2623999994, 230002.45469999965 468340.2030999996, 230009.00409999955 468349.1286999993, 230020.69120000023 468358.3155000005, 230041.86789999995 468368.88719999976, 230070.8055999996 468375.7776999995, 230080.3376000002 468381.8092, 230087.26659999974 468394.7971999999, 230112.9031999996 468467.19779999927, 230121.5691999998 468479.64460000023, 230215.42679999955 468543.0151000004, 230261.70019999985 468559.0031000003, 230273.15000000037 468565.4790000003, 230283.90350000001 468574.4601000007, 230290.13680000044 468584.06460000016, 230301.94680000003 468616.5976, 230313.28440000024 468632.10500000045, 230332.0970999999 468648.6693999991, 230372.45820000023 468670.2274999991, 230386.8627000004 468687.8671000004, 230396.56859999988 468705.2142999992, 230416.46899999958 468760.6459999997, 230424.55059999973 468771.12969999947))",894.67615
5656,"3020191800","3020123900","3020117300",1,"107","000",-,성정13길,"0","0","0",40,"0",0,0,"0",161.436767636746,"20230519",,,,"MULTILINESTRING ((212289.51180000044 468651.47440000065, 212130.90550000034 468681.57210000046))",14.529309
5657,"3010106100","3010022800","3010023000",1,"107","000",-,태학산로,"0","0","0",50,"0",0,0,"0",556.213464317227,"20230519",,,,"MULTILINESTRING ((207654.4419999998 459671.23450000025, 207658.8839999996 459670.0803999994, 207668.65720000025 459663.55110000074, 207679.93259999994 459657.8484000005, 207688.13989999983 459653.7474000007, 207692.73379999958 459652.94739999995, 207697.81130000018 459653.12780000083, 207704.18910000008 459654.3519000001, 207709.65390000027 459656.8972999994, 207713.65029999986 459659.76590000093, 207720.74689999968 459668.9855000004, 207724.62239999976 459680.36360000074, 207726.90469999984 459685.2617000006, 207730.25710000005 459688.8747000005, 207732.38090000022 459689.7053999994, 207736.6447999999 459689.98870000057, 207747.35859999992 459686.91259999946, 207754.50989999995 459685.27779999934, 207768.17080000043 459685.4145999998, 207773.32400000002 459686.6888999995, 207779.8875000002 459690.95830000006, 207786.84700000007 459698.1041000001, 207796.1484000003 459710.6196999997, 207804.01379999984 459719.50379999913, 207819.50380000006 459733.62959999964, 207824.66139999963 459737.30069999956, 207838.1621000003 459745.34479999915, 207857.61909999978 459753.5728999991, 207865.37820000015 459755.62289999984, 207879.03980000038 459761.57660000026, 207887.14499999955 459767.22809999995, 207895.0362999998 459775.0451999996, 207898.41050000023 459776.65970000066, 207903.53899999987 459778.36840000004, 207930.02469999995 459784.91559999995, 207937.5225999998 459787.7078000009, 207955.83910000045 459795.78690000065, 207962.74370000046 459799.61769999936, 207967.78920000046 459803.6688000001, 207977.2279000003 459808.57100000046, 208001.00719999988 459817.0907000005, 208007.3546000002 459818.40729999915, 208020.0571999997 459819.5706999991, 208025.16700000037 459820.67730000056, 208031.18939999957 459823.6264999993, 208038.6947999997 459828.1348000001, 208042.65660000034 459829.9425000008, 208050.44730000012 459834.9880999997, 208055.53110000025 459839.5267999992, 208059.09049999993 459845.8968000002, 208061.46050000004 459852.01659999974, 208061.9567999998 459859.7708999999, 208061.58069999982 459869.0689000003, 208059.7977 459880.64580000006, 208054.09829999972 459901.65169999935, 208051.16199999955 459909.3668000009, 208050.6754999999 459912.1294, 208050.75200000033 459914.42789999954, 208052.74650000036 459920.8252000008))",40.04737
5658,"3020007400","3020005700","3020005800",1,"107","000",-,송골2길,"0","0","0",30,"0",0,0,"0",61.954664070297,"20230519",,,,"MULTILINESTRING ((212151.67650000006 480095.0756000001, 212151.76559999958 480033.12099999934))",7.43456
5659,"3020474800","3020164100","3020163700",1,"107","000",-,직산로,"0","0","0",50,"0",0,0,"0",117.734620223636,"20230519",,,,"MULTILINESTRING ((214823.3627000004 477870.8611999992, 214797.4386 477787.15699999966, 214788.97580000013 477758.26300000027))",8.476892
5660,"3020446000","3020172900","3020173300",2,"105","000","23",망향로,"0","0","0",60,"0",0,0,"0",508.563346438455,"20230519",,,,"MULTILINESTRING ((217841.76379999984 475383.0348000005, 217884.97030000016 475474.5780999996, 217897.94799999986 475503.1863000002, 218053.51640000008 475845.4079999998))",30.513802
5661,"3020427200","3020043800","3020043700",2,"107","000",-,"4산단1길","0","0","0",50,"0",0,0,"0",170.506780034477,"20230519",,,,"MULTILINESTRING ((210082.78149999958 473454.5095000006, 210082.7792999996 473454.61470000073, 210083.06560000032 473519.1093000006, 210082.5647 473566.88350000046, 210082.66640000045 473624.58019999973, 210082.66870000027 473625.01290000044))",12.276488
5662,"3020005100","3020003800","3020003700",1,"107","000",-,미라16길,"0","0","0",40,"0",0,0,"0",44.957742396988,"20230519",,,,"MULTILINESTRING ((211415.66459999979 467617.63240000047, 211371.04310000036 467623.1206))",4.046197
5663,"3020215900","3020117400","3020119100",1,"107","000",-,서부10길,"0","0","0",40,"0",0,0,"0",72.684499338704,"20230519",,,,"MULTILINESTRING ((212129.19149999972 469043.3570000008, 212200.49170000013 469029.23900000006))",6.541605
5664,"3020542701","3020184901","3020173300",2,"105","003","23",망향로,"0","0","0",60,"0",0,0,"0",109.232861274597,"20230519",,,,"MULTILINESTRING ((218079.62239999976 475955.02339999937, 218044.08609999996 475851.73259999976))",6.553972
