"숙박시설 이름","주소(도로명)","분류","lat","lon","geom"
천안 (신부동) 뷰,충청남도 천안시 동남구 먹거리5길 18,모텔,36.8178,127.157745,POINT (127.15774536132812 36.81779861450195)
천안 아늑료칸 요수리구리 호텔,충청남도 천안시 서북구 양지9길 8 (임페라장모텔),모텔,36.811913,127.1399,POINT (127.13990020751953 36.811912536621094)
천안 피아노,충청남도 천안시 동남구 큰시장길 3-3,모텔,36.801907,127.14702,POINT (127.14701843261719 36.80190658569336)
천안 감성무인호텔 온화 어반트디자인,충남 천안시 서북구 양지9길 14,모텔,36.812428,127.139946,POINT (127.13994598388672 36.81242752075195)
천안 더휴식 아늑호텔 천안역 2호점,충청남도 천안시 서북구 양지21길 37,모텔,36.812763,127.13992,POINT (127.13992309570312 36.81276321411133)
천안 그린힐,충남 천안시 동남구 목천읍 목천안터2길 7,모텔,36.775177,127.211205,POINT (127.2112045288086 36.775177001953125)
천안 JS,충청남도 천안시 동남구 신부12길 14,모텔,36.818066,127.15959,POINT (127.15959167480469 36.81806564331055)
천안 더휴식 아늑호텔 천안역 1호점,충청남도 천안시 동남구 양지14길 7,모텔,36.80936,127.14004,POINT (127.1400375366211 36.80936050415039)
천안 새마을 호텔,충청남도 천안시 서북구 성환읍 천안대로 2374-11,모텔,36.950737,127.13275,POINT (127.13275146484375 36.95073699951172)
천안 태조,충청남도 천안시 동남구 각원사길 137-10 (안서동),모텔,36.83174,127.18585,POINT (127.18585205078125 36.83174133300781)
천안 호텔체크인,충청남도 천안시 동남구 은행길 8(대흥동),모텔,36.80791,127.14815,POINT (127.14814758300781 36.80791091918945)
천안 베키니아 호텔,충청남도 천안시 서북구 양지21길 42,호텔,36.812416,127.14025,POINT (127.14025115966797 36.812416076660156)
천안 월호텔(청수점),충청남도 천안시 동남구 청수11로 24,호텔,36.782547,127.15494,POINT (127.15493774414062 36.78254699707031)
탑클라우드 호텔 천안,충청남도 천안시 동남구 서부역6길 3,호텔,36.808346,127.14067,POINT (127.14067077636719 36.808345794677734)
천안 그레이스 호텔,충남 천안시 서북구 성정공원4길 26,모텔,36.8267,127.14379,POINT (127.14379119873047 36.826698303222656)
천안 세븐,충청남도 천안시 서북구 검은들3길 6 (불당동),모텔,36.810963,127.11094,POINT (127.1109390258789 36.81096267700195)
천안 보타닉,충청남도 천안시 동남구 목천읍 응원3길 33,모텔,36.768642,127.188194,POINT (127.18819427490234 36.76864242553711)
