"gid","node_id","node_type","node_name","turn_p","updatedate","remark","hist_type","histremark","geom"
193,"3020163800","101",소우리183-6,"1","20230519",,,,MULTIPOINT ((214803.8398000002 475538.9394000005))
194,"3020166500","104",제3도하교,"0","20230519",,,,MULTIPOINT ((215834.7882000003 483944.41750000045))
195,"3020169100","101",문덕교,"0","20230519",,,,MULTIPOINT ((216831.51400000043 475596.55969999917))
196,"3020171500","101",모전리324-1,"0","20230519",,,,MULTIPOINT ((217368.11519999988 477809.8326999992))
197,"3020172200","101",송남교차로,"0","20230519",,,,MULTIPOINT ((217568.50590000022 474521.7907999996))
198,"3020177500","104",효계교,"0","20230519",,,,MULTIPOINT ((219553.8200000003 478442.93620000035))
199,"3020178600","106",독정교차로,"1","20230519",,,,MULTIPOINT ((219926.52720000036 481017.07159999944))
200,"3010138901","106",남천안IC,"0","20230519",,,,MULTIPOINT ((215111.5410000002 461351.29920000024))
201,"3010140501","101",천안JC,"0","20230519",,,,MULTIPOINT ((216111.0647 463168.90169999935))
202,"3020183801","101",남서울대학교드론교육원,"0","20230519",,,,MULTIPOINT ((212408.41359999962 478651.1738000009))
203,"3010091000","101",S-Oil목천,"0","20230519",,,,MULTIPOINT ((215190.9411000004 460739.51520000026))
204,"3020186101","101",와촌동106-49,"1","20230519",,,,MULTIPOINT ((212786.65809999965 467865.5220999997))
205,"3010139101","103",삼성리40-12,"0","20230519",,,,MULTIPOINT ((215330.70199999958 461271.6294999998))
206,"3020185301","101",삼은리263-117,"0","20230519",,,,MULTIPOINT ((213134.91199999955 475028.7031999994))
207,"3020185501","104",불당터널,"0","20230519",,,,MULTIPOINT ((208590.1694 466797.7451000009))
208,"3010002900","102",구룡동566-87,"0","20230519",,,,MULTIPOINT ((212182.74899999984 463405.4628999997))
209,"3010075000","101",행정삼거리,"0","20230519",,,,MULTIPOINT ((214087.8080000002 454384.1520000007))
210,"3020075700","101",세메스,"0","20230519",,,,MULTIPOINT ((211052.31089999992 474183.3867000006))
211,"3020076700","101",백석동874,"0","20230519",,,,MULTIPOINT ((211117.91619999986 469243.22250000015))
212,"3020077300","101",JA물류센터,"0","20230519",,,,MULTIPOINT ((211142.65979999956 472579.81090000086))
213,"3010031800","104",풍서천교,"0","20230519",,,,MULTIPOINT ((210933.39180000033 457934.9032000005))
214,"4130027000","106",남풍세IC,"1","20230519",,,,MULTIPOINT ((212534.25760000013 457479.9985000007))
215,"2881884610","105",아산시-천안시서북구,"0","20230519",,,,MULTIPOINT ((209312.9073999999 466732.6757999994))
216,"2882061500","102",산동리230-8,"0","20230519",,,,MULTIPOINT ((209508.1370000001 472170.7837000005))
217,"2882064300","104",생태육교,"0","20230519",,,,MULTIPOINT ((208701.22640000004 466210.3258999996))
218,"3010093500","101",백석대삼거리,"1","20230519",,,,MULTIPOINT ((215546.22149999999 471086.62319999933))
219,"3010017000","101",신부동976,"0","20230519",,,,MULTIPOINT ((213924.09169999976 469208.64839999937))
220,"3010070200","101",청당동954,"0","20230519",,,,MULTIPOINT ((213745.7218000004 464937.01630000025))
221,"3010090800","102",진해컴퓨터,"0","20230519",,,,MULTIPOINT ((215099.34920000006 470888.7457999997))
222,"3020049700","101",무등상사,"0","20230519",,,,MULTIPOINT ((210303.67389999982 465944.98000000045))
223,"3020155200","101",스카이빌,"0","20230519",,,,MULTIPOINT ((213396.2368999999 470779.4419999998))
224,"3020181700","101",양대리287-1,"0","20230519",,,,MULTIPOINT ((222524.3649000004 478854.9558000006))
225,"3010013900","102",상동리444,"0","20230519",,,,MULTIPOINT ((223519.72809999995 464046.9173000008))
226,"3010019000","101",보성리840,"0","20230519",,,,MULTIPOINT ((209391.55460000038 458629.68009999953))
227,"3010021800","104",만복교,"0","20230519",,,,MULTIPOINT ((205897.76599999983 453478.18280000053))
228,"3010024400","101",갈매삼거리,"0","20230519",,,,MULTIPOINT ((208853.09509999957 461841.81379999965))
229,"3010051600","101",현대까치삼거리,"0","20230519",,,,MULTIPOINT ((212272.01180000044 463748.3428000007))
230,"3010052200","102",구룡2통노인정,"0","20230519",,,,MULTIPOINT ((212333.91970000044 463109.27899999917))
231,"3010057900","101",구룡동554-2,"0","20230519",,,,MULTIPOINT ((212743.98780000024 464020.8933000006))
232,"3010058100","101",봉명교,"0","20230519",,,,MULTIPOINT ((212750.72609999962 467140.15059999935))
233,"3010059600","106",남풍세IC북측,"0","20230519",,,,MULTIPOINT ((212852.84130000044 458457.76209999993))
234,"3010060100","104",가송교,"0","20230519",,,,MULTIPOINT ((212886.86110000033 459652.7485000007))
235,"3010063800","101",오룡동89,"0","20230519",,,,MULTIPOINT ((213399.2856999999 467285.8643999994))
236,"3010064100","101",대한여관,"0","20230519",,,,MULTIPOINT ((213431.0449000001 468229.5477000009))
237,"3010072400","101",신부동296-7,"0","20230519",,,,MULTIPOINT ((213885.2547000004 469768.02720000036))
238,"3010076200","101",터미널사거리,"1","20230519",,,,MULTIPOINT ((214123.10840000026 468922.1863000002))
239,"3010078100","101",신부오토카,"0","20230519",,,,MULTIPOINT ((214186.6361999996 469031.5611000005))
240,"3010078700","101",청당동963,"0","20230519",,,,MULTIPOINT ((214200.2438000003 465305.57359999977))
241,"3010078800","101",가온동물병원,"0","20230519",,,,MULTIPOINT ((214201.63709999993 465050.25569999963))
242,"3010080200","101",평강교회,"0","20230519",,,,MULTIPOINT ((214248.37660000008 469078.5963000003))
243,"3010082000","101",원동교,"0","20230519",,,,MULTIPOINT ((214339.33150000032 467534.75689999945))
244,"3010083700","101",중원교,"0","20230519",,,,MULTIPOINT ((214419.38520000037 467741.71440000087))
245,"3010085900","101",로링당구장,"0","20230519",,,,MULTIPOINT ((214554.6037999997 470295.1771000009))
