숙박시설 이름,주소(도로명),분류,lat,lon,평점 ,평균 가격
천안 왈츠,충청남도 천안시 동남구 먹거리11길 18 (신부동),모텔,36.8180007,127.1545287,4.9,"39,000"
천안 스위트 ,충남 천안시 서북구 양지17길 5,모텔,36.811068,127.1404049,4.3,"40,000"
천안 쿨피스 무인텔,충남 천안시 동남구 성남면 종합휴양지로 246,모텔,36.7532104,127.2208365,4.7,"50,000"
천안 호텔 주노,충청남도 천안시 서북구 성정공원5로 63 (리치프라자2),모텔,36.8278766,127.144564,4.9,"80,000"
천안 라트리 호텔,충청남도 천안시 서북구 성정공원3길 25 (성정동),모텔,36.8263972,127.1437525,5,"60,000"
천안 아늑호텔 성정점,충청남도 천안시 서북구 성정공원4길 11 (티롤리아모텔),호텔,36.8271833,127.1422242,4.9,"130,000"
천안 CS플라자 호텔,충청남도 천안시 서북구 성정공원6길 54(성정동),모텔,36.8282193,127.143581,4.7,"49,000"
천안 스타 무인텔,충청남도 천안시 동남구 성남면 종합휴양지2길 135,모텔,36.7524865,127.2222237,4.7,"50,000"
소노벨 천안,충청남도 천안시 동남구 성남면 종합휴양지로 200,호텔,36.7570982,127.2235362,4.7,"170,000"
천안 호텔리움,충청남도 천안시 서북구 두정상가3길 21,모텔,36.8321228,127.1409266,4.7,"60,000"
천안 별빛풍경펜션,충청남도 천안시 동남구 목천읍 삼방로 77-13 ,펜션,36.7751457,127.2336253,5,"150,000"
천안 성거연두펜션,충청남도 천안시 서북구 성거읍 천흥4길 290-16 ,펜션,36.865101,127.2134467,4.8,"250,000"
천안 메트로 호텔,충청남도 천안시 동남구 대흥로 241-11,호텔,36.810525,127.1479353,4.3,"70,000"
천안 호텔캄캄,충청남도 천안시 동남구 신부2길 31(신부동),호텔,36.8187623,127.1595712,4.9,"50,000"
천안 이끌림호텔 아모르본관,충청남도 천안시 동남구 봉명로 99,모텔,36.8071929,127.1393738,4.6,"32,000"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
